Year,Month,Day,State,Event Type
1959,July,8,MINNESOTA,Tornado
1959,July,10,MINNESOTA,Hail
1959,August,9,MINNESOTA,Hail
1959,August,9,MINNESOTA,Thunderstorm Wind
1959,August,10,MINNESOTA,Hail
1959,May,3,MINNESOTA,Hail
1959,May,4,MINNESOTA,Tornado
1959,May,4,MINNESOTA,Hail
1959,May,4,MINNESOTA,Thunderstorm Wind
1959,May,4,MINNESOTA,Tornado
1959,May,5,MINNESOTA,Tornado
1959,May,5,MINNESOTA,Thunderstorm Wind
1959,May,10,MINNESOTA,Hail
1959,May,10,MINNESOTA,Hail
1959,May,18,MINNESOTA,Hail
1959,May,25,MINNESOTA,Hail
1959,May,26,MINNESOTA,Thunderstorm Wind
1959,May,26,MINNESOTA,Thunderstorm Wind
1959,May,28,MINNESOTA,Thunderstorm Wind
1959,May,28,MINNESOTA,Tornado
1959,June,9,MINNESOTA,Hail
1959,June,9,MINNESOTA,Tornado
1959,June,9,MINNESOTA,Tornado
1959,June,18,MINNESOTA,Hail
1959,June,25,MINNESOTA,Tornado
1959,June,25,MINNESOTA,Hail
1959,June,27,MINNESOTA,Tornado
1959,July,7,MINNESOTA,Tornado
1959,July,7,MINNESOTA,Thunderstorm Wind
1959,July,7,MINNESOTA,Tornado
1959,July,7,MINNESOTA,Thunderstorm Wind
1959,May,30,MINNESOTA,Thunderstorm Wind
1959,May,31,MINNESOTA,Thunderstorm Wind
1959,June,4,MINNESOTA,Hail
1959,July,7,MINNESOTA,Tornado
1959,July,7,MINNESOTA,Tornado
1959,August,11,MINNESOTA,Hail
1959,August,16,MINNESOTA,Hail
1959,August,16,MINNESOTA,Hail
1959,August,16,MINNESOTA,Thunderstorm Wind
1959,August,21,MINNESOTA,Thunderstorm Wind
1959,August,22,MINNESOTA,Thunderstorm Wind
1959,August,23,MINNESOTA,Thunderstorm Wind
1959,September,6,MINNESOTA,Hail
1959,September,6,MINNESOTA,Tornado
1959,August,10,MINNESOTA,Hail
1959,July,10,MINNESOTA,Hail
1960,August,3,MINNESOTA,Thunderstorm Wind
1960,August,3,MINNESOTA,Thunderstorm Wind
1960,August,3,MINNESOTA,Thunderstorm Wind
1960,August,25,MINNESOTA,Tornado
1960,August,25,MINNESOTA,Tornado
1960,August,27,MINNESOTA,Thunderstorm Wind
1960,September,1,MINNESOTA,Thunderstorm Wind
1960,September,1,MINNESOTA,Thunderstorm Wind
1960,September,1,MINNESOTA,Thunderstorm Wind
1960,September,1,MINNESOTA,Thunderstorm Wind
1960,April,23,MINNESOTA,Hail
1960,April,24,MINNESOTA,Thunderstorm Wind
1960,June,10,MINNESOTA,Tornado
1960,June,23,MINNESOTA,Hail
1960,June,23,MINNESOTA,Thunderstorm Wind
1960,June,23,MINNESOTA,Tornado
1960,June,26,MINNESOTA,Thunderstorm Wind
1960,June,26,MINNESOTA,Thunderstorm Wind
1960,June,28,MINNESOTA,Thunderstorm Wind
1960,June,28,MINNESOTA,Thunderstorm Wind
1960,June,28,MINNESOTA,Thunderstorm Wind
1960,June,28,MINNESOTA,Hail
1960,July,2,MINNESOTA,Thunderstorm Wind
1960,July,2,MINNESOTA,Hail
1960,July,2,MINNESOTA,Thunderstorm Wind
1960,July,11,MINNESOTA,Thunderstorm Wind
1960,July,11,MINNESOTA,Hail
1960,July,22,MINNESOTA,Hail
1960,July,24,MINNESOTA,Tornado
1960,July,26,MINNESOTA,Hail
1960,July,29,MINNESOTA,Tornado
1960,July,29,MINNESOTA,Thunderstorm Wind
1960,August,3,MINNESOTA,Thunderstorm Wind
1960,August,3,MINNESOTA,Thunderstorm Wind
1960,May,19,MINNESOTA,Tornado
1961,August,4,MINNESOTA,Hail
1961,August,4,MINNESOTA,Hail
1961,August,4,MINNESOTA,Tornado
1961,August,4,MINNESOTA,Hail
1961,August,24,MINNESOTA,Hail
1961,August,24,MINNESOTA,Thunderstorm Wind
1961,September,2,MINNESOTA,Thunderstorm Wind
1961,September,2,MINNESOTA,Thunderstorm Wind
1961,September,24,MINNESOTA,Hail
1961,August,3,MINNESOTA,Hail
1961,August,3,MINNESOTA,Hail
1961,June,12,MINNESOTA,Hail
1961,June,30,MINNESOTA,Tornado
1961,June,12,MINNESOTA,Thunderstorm Wind
1961,June,12,MINNESOTA,Hail
